2.14	65455
2.145	65439
2.15	65535
2.155	65471
2.16	65375
2.165	65263
2.17	65247
2.175	65519
2.18	65343
2.185	65455
2.19	65423
2.195	65455
2.2	65503
2.205	65535
2.21	65391
2.215	65391
2.22	65519
2.225	65247
2.23	65375
2.235	65263
2.24	65503
2.245	65343
2.25	65503
2.255	65183
2.26	65455
2.265	65231
2.27	65487
2.275	65503
2.28	65535
2.285	65135
2.29	65487
2.295	65263
2.3	65263
2.305	2480
2.31	2528
2.315	2464
2.32	2560
2.325	2496
2.33	65343
2.335	65375
2.34	65471
2.345	65423
2.35	65439
2.355	65311
2.36	65455
2.365	65375
2.37	65439
2.375	65295
2.38	65535
2.385	65279
2.39	65439
2.395	65503
2.4	65263
2.405	65263
2.41	65343
2.415	65439
2.42	65487
2.425	65391
2.43	65439
2.435	65247
2.44	65439
2.445	65247
2.45	65503
2.455	65327
2.46	65375
2.465	65295
2.47	65423
2.475	65423
2.48	65263
2.485	65327
2.49	65471
2.495	65391
2.5	65471
2.505	65455
2.51	65263
2.515	65359
2.52	65535
2.525	65535
2.53	65439
2.535	65535
2.54	65391
2.545	65295
2.55	65375
2.555	65535
2.56	65343
2.565	65359
2.57	65455
2.575	65471
2.58	65231
2.585	65519
2.59	65231
2.595	65535
2.6	65295
2.605	65423
2.61	65455
2.615	65455
2.62	65391
2.625	65247
2.63	65231
2.635	65391
2.64	65439
2.645	65391
2.65	65311
2.655	65535
2.66	65423
2.665	65471
2.67	65359
2.675	65375
2.68	65327
2.685	65535
2.69	65327
2.695	65295
2.7	65535
2.705	65407
2.71	65407
2.715	65359
2.72	65439
2.725	65423
2.73	65375
2.735	65375
2.74	65263
2.745	65359
2.75	65263
2.755	65391
2.76	65231
2.765	65343
2.77	65535
2.775	65311
2.78	65535
2.785	65535
2.79	65423
2.795	65295
2.8	65327
2.805	65375
2.81	65439
2.815	65439
2.82	65311
2.825	65455
2.83	65375
2.835	65375
2.84	2544
2.845	65359
2.85	65263
2.855	65439
2.86	65391
2.865	65311
2.87	65343
2.875	65375
2.88	65343
2.885	65423
2.89	65247
2.895	65327
2.9	65487
2.905	65327
2.91	65439
2.915	65231
2.92	65455
2.925	65247
2.93	65327
2.935	65375
2.94	2496
2.945	65375
2.95	65231
2.955	65439
2.96	65519
2.965	65327
2.97	65423
2.975	65455
2.98	65327
2.985	65311
2.99	65455
2.995	65471
3.0	65535
3.005	65423
3.01	65519
3.015	65295
3.02	65247
3.025	65471
3.03	65535
3.035	64783
3.04	65311
3.045	2480
3.05	2496
3.055	65295
3.06	65439
3.065	65135
3.07	65455
3.075	65231
3.08	65423
3.085	65439
3.09	65295
3.095	65247
3.1	65535
3.105	65471
3.11	65295
3.115	65295
3.12	65343
3.125	65199
3.13	65263
3.135	65263
3.14	65295
3.145	65295
3.15	65423
3.155	65391
3.16	65215
3.165	65327
3.17	65199
3.175	65247
3.18	65359
3.185	65215
3.19	65295
3.195	65231
3.2	65231
3.205	65263
3.21	65295
3.215	65199
3.22	65327
3.225	65311
3.23	65247
3.235	65311
3.24	65231
3.245	65263
3.25	65231
3.255	65311
3.26	65231
3.265	65295
3.27	65167
3.275	65263
3.28	65279
3.285	65439
3.29	65423
3.295	65215
3.3	65359
3.305	65327
3.31	65247
3.315	65183
3.32	65247
3.325	65391
3.33	65375
3.335	65391
3.34	65199
3.345	65247
3.35	65343
3.355	65359
3.36	65247
3.365	65343
3.37	65359
3.375	65247
3.38	65311
3.385	65231
3.39	65263
3.395	65343
3.4	65263
3.405	65359
3.41	65247
3.415	65327
3.42	65247
3.425	65359
3.43	65343
3.435	65199
3.44	65311
3.445	65215
3.45	65263
3.455	65295
3.46	65375
3.465	65279
3.47	65151
3.475	65327
3.48	65311
3.485	65343
3.49	65199
3.495	65343
3.5	65263
3.505	65295
3.51	65183
3.515	65279
3.52	65247
3.525	65247
3.53	65295
3.535	65263
3.54	65263
3.545	65279
3.55	65263
3.555	65247
3.56	65199
3.565	65375
3.57	65279
3.575	65199
3.58	65295
3.585	65295
3.59	65295
3.595	65359
